,Марка,Модель,Год выпуска,Город продажи,Тип топлива,"Объем двигателя, л.","Мощность, л.с.",Коробка передач,Привод,Цвет,"Пробег, км",Поколение,Количество регистраций,"Цена, руб."
0,Porsche,Macan,2014,Симферополь,бензин,3.6,400.0,робот,4WD,серый,87000.0,1 поколение,1.0,3800000
1,Porsche,Cayenne,2019,Екатеринбург,бензин,3.0,340.0,АКПП,4WD,коричневый,101156.0,3 поколение,3.0,6399000
2,Porsche,Panamera,2015,Красноярск,бензин,3.6,310.0,робот,4WD,белый,61000.0,"1 поколение, рестайлинг",5.0,4290000
3,Porsche,Cayenne,2007,Томск,бензин,4.8,385.0,АКПП,4WD,черный,265000.0,"1 поколение, рестайлинг",4.0,825000
4,Porsche,Cayenne,2022,Москва,бензин,3.0,340.0,АКПП,4WD,черный,0.0,3 поколение,,12900000
5,Porsche,Cayenne,2008,Сургут,бензин,4.8,405.0,АКПП,4WD,золотистый,173331.0,"1 поколение, рестайлинг",5.0,999000
6,Porsche,Cayenne Coupe,2019,Челябинск,бензин,3.0,340.0,АКПП,4WD,черный,35500.0,1 поколение,,8600000
7,Porsche,Macan,2014,Новосибирск,бензин,3.0,340.0,робот,4WD,коричневый,109893.0,1 поколение,5.0,2819000
8,Porsche,911,2016,Калининград,бензин,3.0,370.0,робот,задний,синий,28000.0,"7 поколение, рестайлинг",4.0,7250000
9,Porsche,Cayenne,2006,Пятигорск,бензин,4.5,450.0,АКПП,4WD,черный,72000.0,1 поколение,3.0,2200000
10,Porsche,Cayenne,2011,Екатеринбург,бензин,3.6,300.0,АКПП,4WD,фиолетовый,,2 поколение,7.0,2580000
11,Porsche,Cayenne,2015,Новосибирск,дизель,3.0,245.0,АКПП,4WD,белый,102600.0,"2 поколение, рестайлинг",2.0,4600000
12,Porsche,Cayenne,2012,Красноярск,дизель,3.0,245.0,АКПП,4WD,черный,230000.0,2 поколение,6.0,2497000
